source,destination,weather,congestion,distance,cargo,risk
Mumbai,Mumbai,1,1,2144,fragile,33
Mumbai,Chennai,3,5,10849,normal,75
Mumbai,Kolkata,2,2,7148,normal,41
Mumbai,Delhi,2,3,7078,normal,49
Mumbai,Visakhapatnam,2,1,5399,fragile,43
Mumbai,Singapore,1,2,5989,fragile,41
Mumbai,Shanghai,5,5,10864,fragile,105
Mumbai,Shenzhen,5,4,9393,normal,87
Mumbai,Guangzhou,5,4,3617,fragile,97
Mumbai,Hong Kong,3,3,1040,fragile,69
Mumbai,Tokyo,5,1,6937,fragile,73
Mumbai,Osaka,3,5,3965,fragile,85
Mumbai,Busan,2,3,5531,normal,49
Mumbai,Bangkok,4,5,9499,normal,85
Mumbai,Jakarta,1,5,8547,normal,55
Mumbai,Dubai,3,5,3133,normal,75
Mumbai,Doha,4,3,10364,fragile,79
Mumbai,Riyadh,1,2,4764,normal,31
Mumbai,Jeddah,2,2,3379,normal,41
Mumbai,Istanbul,1,4,9006,normal,47
Mumbai,Hamburg,2,2,11562,fragile,51
Mumbai,Rotterdam,5,5,3381,normal,95
Mumbai,Antwerp,4,4,1306,fragile,87
Mumbai,London,2,3,9214,fragile,59
Mumbai,Le Havre,2,3,5969,fragile,59
Mumbai,Barcelona,4,5,8201,fragile,95
Mumbai,Genoa,2,4,4255,normal,57
Mumbai,Athens,4,3,8896,fragile,79
Mumbai,New York,2,2,7121,normal,41
Mumbai,Los Angeles,2,2,4748,normal,41
Mumbai,San Francisco,5,5,7520,fragile,105
Mumbai,Seattle,5,4,7231,normal,87
Mumbai,Houston,2,5,6417,fragile,75
Mumbai,Miami,2,2,1178,normal,41
Mumbai,Vancouver,5,4,10325,fragile,97
Mumbai,Toronto,5,2,6845,fragile,81
Mumbai,Montreal,5,3,3556,fragile,89
Mumbai,Sydney,1,4,10450,normal,47
Mumbai,Melbourne,2,4,5761,normal,57
Mumbai,Auckland,5,3,10191,fragile,89
Mumbai,Cape Town,1,5,3548,fragile,65
Mumbai,Durban,5,5,5497,normal,95
Mumbai,Lagos,4,1,8639,fragile,63
Mumbai,Nairobi,1,4,9243,normal,47
Mumbai,Santos,4,3,1249,normal,69
Mumbai,Rio de Janeiro,1,2,1321,normal,31
Mumbai,Buenos Aires,4,5,2397,normal,85
Mumbai,Lima,3,2,10980,fragile,61
Mumbai,Panama City,5,2,2701,normal,71
Mumbai,Manila,4,5,5597,fragile,95
Mumbai,Ho Chi Minh City,1,5,4897,fragile,65
Mumbai,Kuala Lumpur,5,5,10033,normal,95
Chennai,Mumbai,3,3,3424,normal,59
Chennai,Chennai,3,3,4147,fragile,69
Chennai,Kolkata,5,3,6306,normal,79
Chennai,Delhi,1,1,9871,normal,23
Chennai,Visakhapatnam,5,2,6235,fragile,81
